pos.x,pos.y,pos.z,bUse,nType,aRemarks
50.000000,750.000000,0.000000,1,0,WALL_TYPE_001
150.000000,750.000000,0.000000,1,0,WALL_TYPE_001
250.000000,750.000000,0.000000,1,0,WALL_TYPE_001
350.000000,750.000000,0.000000,1,0,WALL_TYPE_001
450.000000,750.000000,0.000000,1,0,WALL_TYPE_001
550.000000,750.000000,0.000000,1,0,WALL_TYPE_001
650.000000,750.000000,0.000000,1,0,WALL_TYPE_001
750.000000,750.000000,0.000000,1,0,WALL_TYPE_001
850.000000,750.000000,0.000000,1,0,WALL_TYPE_001
950.000000,750.000000,0.000000,1,0,WALL_TYPE_001
1050.000000,750.000000,0.000000,1,0,WALL_TYPE_001
1150.000000,750.000000,0.000000,1,0,WALL_TYPE_001
